cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total
Maringá,150,2,2,1,18,1,0,2574,9445,1275,170,13464
Jundiaí,379,5,3,1,7,1,1,858,7380,1878,99,10215
Florianópolis,243,5,1,4,8,0,1,2641,2086,182,172,5081
Campo Grande,110,1,2,4,11,1,0,577,3435,1251,168,5431
São Luís,170,5,2,0,7,1,0,4397,5619,1104,169,11289
Macapá,466,5,3,1,0,1,0,3846,645,211,185,4887
Campinas,290,3,1,3,13,0,0,1276,4325,1249,128,6978
Natal,468,2,1,2,0,1,0,3468,7717,1251,138,12574
São Luís,93,2,3,4,12,0,1,2031,527,1029,27,3614
Betim,273,2,2,0,8,1,1,1365,6472,1267,38,9142
Vitória,177,4,2,2,12,1,0,4244,7656,234,196,12330
São José dos Campos,161,1,3,1,2,1,0,3558,1619,505,11,5693
Rio de Janeiro,467,2,3,3,19,1,1,4287,599,444,75,5405
Vitória,134,3,1,3,0,0,0,2945,4817,1436,82,9280
São Paulo,346,3,4,4,19,1,0,2107,8111,363,46,10627
Caxias do Sul,74,5,3,4,8,0,0,1148,9490,1728,188,12554
Ananindeua,24,5,2,3,4,1,1,1251,1898,277,77,3503
Brasília,278,5,2,2,19,1,0,1393,2755,570,66,4784
Jundiaí,245,5,1,4,3,1,1,4086,8753,1603,56,14498
Campinas,485,4,2,3,5,0,0,3239,2586,137,70,6032
Brasília,411,5,4,2,13,1,0,139,2678,230,113,3160
Ananindeua,247,1,2,2,6,1,1,373,808,1861,47,3089
Montes Claros,190,5,3,4,18,0,0,1679,8013,1936,97,11725
São Paulo,268,2,1,0,16,0,0,2828,1763,310,151,5052
Ananindeua,30,4,2,0,1,1,0,426,3217,1796,168,5607
Contagem,311,1,2,2,7,1,1,3178,8707,1845,184,13914
Sorocaba,225,3,3,3,18,0,1,2669,9593,993,167,13422
São Gonçalo,301,2,3,0,14,0,0,4014,4387,1470,36,9907
Cuiabá,99,1,2,4,8,0,1,686,2316,859,126,3987
Rio de Janeiro,374,3,3,1,16,1,0,3598,7165,819,110,11692
Piracicaba,120,5,3,4,18,1,0,3072,973,138,163,4346
Goiânia,218,3,3,2,6,1,0,2390,2425,188,97,5100
Sorocaba,480,2,3,3,2,1,1,3237,1025,1292,53,5607
Caxias do Sul,479,2,2,1,2,1,0,1737,838,1496,121,4192
Ananindeua,72,1,3,1,16,1,1,1189,4656,1969,185,7999
São Luís,447,3,1,4,4,0,1,4854,7432,1293,157,13736
Belo Horizonte,209,1,2,2,9,0,0,899,1055,1753,151,3858
Duque de Caxias,37,3,3,4,19,1,1,923,1042,314,26,2305
Vila Velha,201,2,1,2,15,1,0,3417,3922,868,194,8401
Porto Alegre,176,1,2,3,10,1,0,4382,5099,702,166,10349
Barueri,297,2,2,4,17,0,1,3355,1824,1273,90,6542
Natal,282,1,2,0,5,1,0,1742,9696,1138,62,12638
Barueri,122,4,1,0,19,1,0,4526,4712,1275,82,10595
Montes Claros,496,4,3,4,3,0,0,3856,4919,452,199,9426
Ribeirão Preto,174,2,1,2,13,1,1,1193,3435,1068,119,5815
Belo Horizonte,188,2,4,2,3,1,0,4995,1905,131,194,7225
Betim,160,4,3,3,16,1,1,3266,7851,1485,198,12800
Curitiba,142,4,1,3,7,0,1,3590,9287,1477,100,14454
Guarulhos,309,5,1,3,6,0,0,1301,6484,1202,27,9014
Duque de Caxias,144,1,3,4,0,0,1,599,7597,229,58,8483
Osasco,124,5,1,4,16,0,0,76,2566,1334,25,4001
Goiânia,88,2,3,2,18,0,0,1705,7320,153,150,9328
Aracaju,119,4,4,2,4,1,0,3992,9333,1671,108,15104
Florianópolis,186,4,1,1,7,1,1,3589,7572,841,186,12188
Vitória,489,1,1,2,4,1,1,3523,5838,1513,155,11029
Teresina,314,4,2,0,9,0,0,1449,6925,1046,43,9463
Vila Velha,131,5,1,2,5,1,0,4319,9243,1095,106,14763
Campo Grande,163,5,3,1,10,1,1,188,5683,1913,146,7930
Jaboatão dos Guararapes,414,4,3,2,15,0,0,4262,4276,1733,75,10346
Rio de Janeiro,393,1,2,4,6,1,1,2555,7568,697,173,10993
Ananindeua,165,5,2,1,2,1,0,1770,1165,935,158,4028
Rio de Janeiro,174,1,2,2,11,0,0,3878,5428,14,162,9482
Ribeirão Preto,438,3,1,3,17,0,0,3036,5529,231,181,8977
Recife,280,2,4,3,11,0,1,3127,8599,1717,33,13476
Campo Grande,354,5,1,0,3,1,1,3124,8340,414,199,12077
Recife,180,5,3,4,19,1,1,4628,1948,1075,85,7736
São José dos Campos,371,1,2,1,12,0,1,4493,5075,1420,135,11123
Osasco,385,2,3,3,0,1,1,3833,2453,1154,45,7485
Jundiaí,378,3,2,4,7,0,1,361,2301,1914,104,4680
Teresina,80,4,1,0,13,0,1,2147,8621,453,186,11407
Feira de Santana,411,1,3,4,14,0,0,1675,9078,1524,50,12327
Boa Vista,354,3,3,2,8,0,1,1714,5950,735,69,8468
Boa Vista,295,4,3,2,8,1,0,2573,1545,433,152,4703
Salvador,164,3,4,1,3,1,1,2928,6041,420,53,9442
Aracaju,231,4,2,0,16,1,0,4743,1050,1732,30,7555
São Luís,365,1,1,2,17,1,1,2669,4876,1729,134,9408
Joinville,69,2,2,0,13,0,0,4407,5783,608,190,10988
Florianópolis,497,1,3,1,0,0,0,3726,5072,1065,174,10037
Goiânia,378,4,2,2,15,1,1,3451,3422,37,100,7010
Campinas,226,4,4,4,8,0,1,3311,8071,1853,149,13384
Sorocaba,350,1,4,3,9,1,0,1154,4198,1770,193,7315
Rio de Janeiro,207,5,1,0,7,1,0,4677,2251,580,49,7557
São José dos Campos,351,2,4,3,17,1,1,4613,7349,580,173,12715
São José dos Campos,95,5,3,3,9,0,1,3082,1856,1094,45,6077
Manaus,41,1,3,3,12,0,1,621,967,962,84,2634
Manaus,438,5,2,1,16,0,1,434,1797,869,175,3275
Vila Velha,40,4,2,1,18,0,1,2687,1359,1914,119,6079
Teresina,476,4,1,4,7,1,0,4934,9016,643,113,14706
João Pessoa,60,1,2,2,7,0,1,3772,7023,561,131,11487
Vitória,171,2,2,0,17,1,0,2976,4566,1552,126,9220
Manaus,228,4,3,2,11,1,0,4793,7207,1728,128,13856
Curitiba,344,2,1,3,13,0,1,1552,6513,1637,167,9869
Brasília,332,5,4,1,8,0,1,2244,3394,1341,130,7109
Caxias do Sul,165,3,4,0,2,0,0,2006,5778,381,179,8344
Belo Horizonte,335,4,3,3,13,1,0,2549,7272,1982,188,11991
Niterói,291,5,3,4,14,0,0,2694,9264,1856,165,13979
Duque de Caxias,481,5,2,1,2,1,0,4302,6164,1650,163,12279
Contagem,398,4,4,1,14,0,0,1725,4408,1475,198,7806
Florianópolis,121,1,3,4,5,0,0,2703,3342,1115,25,7185
São Gonçalo,300,1,2,4,1,0,0,979,3907,1064,38,5988
Vitória,457,5,4,0,4,1,1,3173,8050,465,158,11846
Piracicaba,92,5,4,2,10,1,1,1609,9787,1557,27,12980
Teresina,343,4,2,4,5,1,0,3130,2825,805,57,6817
Niterói,201,4,4,4,12,1,1,161,8396,1737,196,10490
Boa Vista,30,4,3,2,19,1,1,946,8928,620,70,10564
Betim,424,1,4,2,15,1,1,3166,620,587,150,4523
Guarulhos,299,4,3,1,9,0,1,2150,4382,1685,11,8228
Belém,497,1,4,3,16,1,1,2202,2580,728,99,5609
Duque de Caxias,417,4,4,4,4,0,0,1647,5197,1398,20,8262
Goiânia,65,2,2,2,9,1,0,3850,6852,1144,39,11885
Piracicaba,39,4,2,2,11,1,1,2940,6396,1988,25,11349
Fortaleza,137,3,4,3,12,0,1,741,7670,1422,75,9908
Rio de Janeiro,129,2,4,0,12,0,0,2302,4663,1092,189,8246
Maceió,390,4,2,2,5,1,0,653,6259,351,175,7438
Macapá,307,5,4,2,17,1,1,1711,9941,1240,12,12904
Osasco,348,2,2,2,4,0,1,1327,7574,1819,42,10762
Goiânia,48,5,3,1,16,0,0,2833,566,338,180,3917
Goiânia,202,5,2,3,7,1,1,3382,1986,312,74,5754
Osasco,209,3,3,4,14,1,0,4443,9180,1903,16,15542
Boa Vista,430,2,2,0,9,0,1,2983,4502,883,121,8489
Sorocaba,447,4,3,0,11,1,1,2149,4494,1781,72,8496
Vila Velha,306,5,3,3,8,0,1,2189,1285,1916,85,5475
Brasília,451,1,3,2,10,0,1,950,9108,1638,28,11724
Joinville,472,4,4,2,11,1,0,3522,1143,303,55,5023
Serra,130,1,3,1,6,0,1,3154,9340,151,82,12727
Boa Vista,58,4,1,3,14,1,0,1085,6813,756,135,8789
Rio de Janeiro,193,5,3,0,19,0,0,3422,5928,145,49,9544
Boa Vista,24,1,4,0,8,0,0,2340,6089,853,198,9480
Goiânia,263,5,3,3,9,1,0,1386,5132,1291,154,7963
Serra,391,5,1,0,10,0,0,3923,4636,725,184,9468
Piracicaba,490,2,4,3,10,1,1,4462,8368,1266,131,14227
Osasco,97,3,1,0,10,0,1,1049,7739,432,187,9407
Niterói,60,1,2,0,2,0,0,26,5725,565,39,6355
Vitória,242,3,3,2,3,1,0,2421,1650,266,51,4388
São Luís,73,5,2,0,8,0,1,2119,3729,1081,100,7029
Campo Grande,231,2,3,0,4,1,1,2030,9531,28,80,11669
Florianópolis,272,3,3,2,15,1,0,1524,5593,1908,194,9219
Sorocaba,477,3,4,3,13,0,1,1694,4162,103,80,6039
Duque de Caxias,240,3,1,0,12,1,1,1917,2411,485,121,4934
Aracaju,270,3,3,0,4,1,1,2729,3774,903,102,7508
Joinville,335,1,3,1,5,1,1,1885,8515,270,147,10817
Aracaju,493,3,2,3,15,1,1,4757,6460,155,139,11511
Caxias do Sul,267,1,1,4,10,0,1,4880,3584,1209,136,9809
Florianópolis,28,5,2,4,6,1,0,4260,2355,1300,133,8048
Boa Vista,371,2,4,4,1,1,1,3878,7324,704,124,12030
Niterói,297,2,3,2,5,1,0,3610,1858,1938,175,7581
Campo Grande,268,2,2,0,16,0,1,3317,2646,1209,150,7322
Belo Horizonte,70,4,4,4,16,1,0,3732,1432,590,34,5788
Jundiaí,451,4,3,4,1,0,0,2641,5124,1269,84,9118
Ribeirão Preto,106,3,4,2,15,0,0,2532,9342,696,128,12698
São Paulo,436,1,3,4,16,1,0,1353,5871,1552,41,8817
Porto Alegre,402,5,1,2,17,1,1,1244,2231,464,71,4010
Porto Velho,459,3,3,0,13,1,1,4703,3177,1043,94,9017
Manaus,268,3,2,3,16,1,1,4539,4953,1522,198,11212
Campinas,106,2,2,2,1,0,0,3880,893,533,11,5317
Joinville,318,1,3,0,5,1,0,2096,7580,1224,53,10953
Belo Horizonte,275,5,2,3,7,0,1,46,4372,1030,21,5469
Guarulhos,423,5,2,3,19,0,0,901,1402,848,17,3168
Osasco,248,1,3,3,15,1,1,3856,1309,210,157,5532
Rio de Janeiro,325,4,3,4,6,1,1,775,4852,1488,18,7133
Ananindeua,467,1,1,1,8,0,0,1643,697,1222,196,3758
Niterói,140,5,4,2,19,0,0,2116,2756,681,123,5676
Londrina,151,1,1,0,3,1,1,4822,8313,323,119,13577
Brasília,191,4,1,4,8,0,1,399,1545,627,179,2750
Brasília,402,4,4,1,2,1,1,1569,6276,873,92,8810
Brasília,426,2,2,0,12,1,1,948,5467,737,89,7241
Mogi das Cruzes,471,2,4,0,11,1,0,2346,4525,1066,112,8049
Caxias do Sul,327,3,3,0,9,1,0,187,9616,1833,39,11675
Duque de Caxias,99,1,2,3,0,1,1,1636,861,142,87,2726
Jundiaí,110,3,2,1,14,0,1,53,9922,1052,54,11081
Boa Vista,468,5,3,2,5,0,0,1424,9722,1238,152,12536
Mogi das Cruzes,87,5,4,2,14,1,0,2005,9972,1651,80,13708
Boa Vista,396,4,2,2,12,0,1,1514,2883,1349,178,5924
Cuiabá,256,3,4,3,1,0,0,797,4481,48,18,5344
Uberlândia,268,4,3,4,4,1,0,3170,1110,720,180,5180
Fortaleza,402,3,4,1,10,1,1,810,7243,773,23,8849
Maceió,366,1,2,4,2,1,1,3999,9768,432,21,14220
Niterói,441,5,2,4,14,0,0,560,9011,524,71,10166
Montes Claros,126,1,1,3,7,0,0,181,3597,527,86,4391
Vitória,340,1,3,1,9,1,1,1006,3384,1226,25,5641
São Paulo,178,1,4,2,13,1,0,3843,6175,575,161,10754
Belém,160,3,2,0,13,1,1,2597,4636,277,137,7647
Campo Grande,429,1,2,4,19,1,0,694,4001,705,160,5560
Porto Velho,245,2,3,3,2,1,0,4531,5944,1946,71,12492
Uberlândia,158,2,1,0,10,0,1,4885,7138,1868,37,13928
Aracaju,182,3,1,2,10,1,1,3070,2291,547,199,6107
Curitiba,184,5,3,3,0,0,0,1296,5903,1829,160,9188
Natal,133,1,1,2,6,1,1,3772,4265,972,97,9106
Teresina,238,2,2,2,18,1,0,2533,8368,154,106,11161
Londrina,284,1,3,3,16,0,0,4502,6182,1681,164,12529
Aracaju,492,2,1,4,3,0,1,14,3902,1595,195,5706
Belo Horizonte,393,5,3,1,11,0,1,166,2014,176,153,2509
Porto Velho,410,5,1,2,14,1,0,977,4894,727,17,6615
Natal,88,1,1,4,2,0,0,4074,6502,148,92,10816
Duque de Caxias,483,5,4,0,9,1,0,577,9567,957,35,11136
Santo André,396,5,3,2,15,1,0,4074,8051,138,42,12305
Aracaju,296,2,1,3,6,1,1,2286,6415,761,120,9582
Goiânia,91,4,4,3,12,1,1,2349,1629,1242,114,5334
São Gonçalo,36,3,4,3,13,0,1,4672,7408,138,141,12359
Contagem,205,4,3,2,5,1,0,3394,7564,1002,123,12083
Boa Vista,480,5,2,0,9,1,1,834,5932,1775,145,8686
Londrina,195,5,3,4,5,1,1,2672,3678,822,125,7297
Porto Alegre,376,3,4,2,14,1,1,878,1856,997,75,3806
Brasília,25,3,3,2,4,0,1,1174,8543,469,28,10214
Manaus,198,5,3,3,16,1,0,3542,7322,581,19,11464
Guarulhos,65,5,1,3,17,0,1,3696,4360,585,132,8773
Jaboatão dos Guararapes,76,4,3,0,15,1,1,4891,2224,1086,18,8219
Barueri,61,3,3,4,16,1,1,977,1426,832,125,3360
João Pessoa,455,1,4,3,0,1,1,2300,1638,809,193,4940
Brasília,329,5,3,1,9,1,0,3663,4208,1775,55,9701
Caxias do Sul,109,5,3,2,16,1,0,938,4689,1772,108,7507
Florianópolis,234,3,3,0,7,1,1,2105,2984,1617,158,6864
Joinville,214,3,3,3,2,0,1,3440,5146,63,160,8809
São José dos Campos,414,3,2,1,14,0,0,377,1762,1836,57,4032
Joinville,89,1,3,3,11,1,1,3291,5498,462,32,9283
Porto Alegre,27,2,3,4,6,0,1,3278,4734,647,191,8850
Goiânia,209,1,3,1,1,0,0,4997,4253,1237,21,10508
Belém,107,3,2,1,11,0,0,3980,9277,1044,63,14364
Campo Grande,284,4,1,0,7,0,0,216,7805,464,161,8646
Fortaleza,335,1,4,3,12,1,0,616,3292,1085,100,5093
Recife,255,4,4,0,19,1,1,1818,6079,1504,102,9503
Sorocaba,261,3,4,1,0,0,0,181,4702,409,61,5353
Belém,489,2,1,2,5,0,1,1771,7003,800,179,9753
Teresina,435,2,1,4,13,0,0,3386,8303,1407,79,13175
Guarulhos,124,5,4,1,9,1,0,3695,5021,262,79,9057
Belo Horizonte,454,5,4,4,19,0,1,507,1302,219,144,2172
Jundiaí,406,2,1,1,15,1,0,926,1679,753,89,3447
Piracicaba,468,4,4,4,0,0,0,4996,7050,594,48,12688
Montes Claros,357,1,4,3,11,1,0,4209,7796,1970,104,14079
Maringá,223,5,4,1,19,0,0,1774,972,952,181,3879
Santo André,472,3,4,0,4,1,0,806,9739,615,118,11278
Ribeirão Preto,396,2,3,1,3,0,0,1500,7357,218,66,9141
Cuiabá,161,5,1,3,7,0,0,3927,643,582,12,5164
Serra,265,4,3,4,8,1,1,4031,5557,266,36,9890
Sorocaba,285,3,3,4,2,1,0,3281,1140,1529,96,6046
Caxias do Sul,325,5,3,1,3,0,1,4800,2681,1640,29,9150
Cuiabá,309,2,2,1,18,1,1,210,8292,1761,110,10373
Fortaleza,58,2,1,0,10,1,1,346,5401,1501,128,7376
Manaus,407,5,2,4,18,0,1,292,2230,641,38,3201
São Gonçalo,408,1,1,3,16,0,1,464,7724,1425,52,9665
Manaus,337,1,1,3,18,1,0,4742,7498,1054,140,13434
São José dos Campos,124,2,3,0,6,1,1,4844,9618,1763,164,16389
Florianópolis,418,2,4,1,1,1,1,821,9809,1100,157,11887
Cuiabá,391,2,4,2,7,1,1,3039,8696,519,174,12428
Curitiba,141,5,3,3,17,0,1,554,4724,1945,135,7358
Sorocaba,119,5,4,2,15,0,1,949,4711,1120,13,6793
Campinas,305,2,4,2,0,1,0,1302,2937,1362,175,5776
Belo Horizonte,487,3,3,4,18,0,1,3087,8666,1805,173,13731
Belo Horizonte,53,3,3,4,14,0,0,4445,854,319,28,5646
Vitória,150,5,4,4,14,1,0,3548,5783,487,177,9995
Ribeirão Preto,203,2,1,4,10,1,1,4603,1687,535,22,6847
Caxias do Sul,186,4,4,1,16,0,0,435,6050,185,35,6705
Belém,55,1,1,2,11,0,1,117,8954,1438,198,10707
Caxias do Sul,467,1,4,4,8,0,1,4854,4837,435,60,10186
Joinville,371,5,4,1,8,0,1,1304,6685,643,189,8821
Florianópolis,389,4,2,4,7,0,1,2603,9690,140,66,12499
Porto Velho,424,1,2,0,1,0,1,1626,4664,754,164,7208
Belém,449,5,3,2,5,1,1,484,7086,234,28,7832
Ribeirão Preto,278,2,4,1,10,1,0,886,5362,463,136,6847
Montes Claros,60,5,4,4,11,1,1,339,7077,743,17,8176
São Paulo,155,3,1,3,1,1,1,3747,3597,884,20,8248
Feira de Santana,208,5,2,1,10,1,1,4656,4331,1286,25,10298
Guarulhos,25,4,3,1,18,0,1,3626,4679,1946,135,10386
Rio de Janeiro,68,3,1,0,6,1,1,5,8882,784,47,9718
Piracicaba,261,4,2,3,18,0,0,326,7363,785,118,8592
Vila Velha,479,5,4,1,5,0,1,4563,2128,208,177,7076
Macapá,107,3,1,0,0,1,0,3467,7026,1567,25,12085
São Paulo,202,2,2,4,5,1,0,460,6380,500,158,7498
Cuiabá,38,2,3,3,14,1,0,3892,7124,1470,135,12621
Maceió,299,3,2,2,14,0,1,2076,3602,1350,167,7195
Niterói,110,1,4,3,8,0,1,1320,3791,1938,82,7131
Mogi das Cruzes,135,5,4,2,12,1,1,1656,9307,1124,162,12249
Mogi das Cruzes,294,2,1,1,1,0,0,2471,7751,1598,199,12019
Mogi das Cruzes,471,3,2,2,6,0,0,3742,5513,93,170,9518
Rio de Janeiro,357,1,1,4,1,0,1,1686,4767,127,45,6625
Aracaju,412,2,1,2,7,1,1,4519,6000,1808,152,12479
Porto Alegre,380,3,2,4,3,1,1,2743,2325,96,101,5265
São Luís,370,5,3,3,12,1,1,2101,4695,1838,112,8746
Goiânia,293,3,1,0,14,1,0,1171,9132,1804,114,12221
Osasco,492,4,3,0,8,1,1,481,9464,1509,97,11551
Duque de Caxias,198,4,4,2,15,0,0,4158,9938,179,46,14321
Ribeirão Preto,91,4,1,3,3,1,0,3079,9116,413,118,12726
Goiânia,264,3,3,4,11,0,1,4788,7164,775,175,12902
São Luís,51,1,3,0,9,1,0,953,1194,1609,136,3892
Goiânia,290,1,1,1,7,0,0,2236,9081,1574,18,12909
Maceió,110,3,4,1,6,0,0,2233,1756,115,171,4275
Aracaju,469,2,3,2,11,0,0,2707,7134,1367,83,11291
Ananindeua,486,2,3,2,2,1,0,3174,4448,1858,136,9616
Florianópolis,112,1,1,4,3,0,1,2627,5591,359,142,8719
Jundiaí,210,5,2,1,18,0,0,1464,6692,290,138,8584
Duque de Caxias,325,3,4,4,15,1,1,3270,1460,823,177,5730
Aracaju,137,3,4,0,11,0,0,1833,5046,1814,30,8723
Curitiba,452,2,2,0,6,0,0,1768,6736,49,46,8599
Porto Alegre,261,2,4,0,5,0,0,2378,8064,43,117,10602
Salvador,115,3,3,4,6,1,1,1319,4532,399,140,6390
Maceió,412,3,4,2,10,1,1,3594,7017,1134,82,11827
Salvador,453,5,1,2,4,1,1,726,5429,129,35,6319
Curitiba,444,1,1,2,1,1,1,3352,6313,314,147,10126
Maceió,237,3,3,1,8,1,1,2487,7887,1261,69,11704
Vitória,248,4,3,1,16,1,1,81,3854,1444,130,5509
Aparecida de Goiânia,54,3,1,3,12,1,0,1893,6676,501,15,9085
São Luís,67,3,1,1,1,0,1,2917,5689,795,18,9419
Londrina,77,5,3,3,0,0,0,537,9137,1624,28,11326
Maceió,377,2,2,0,11,1,0,883,6268,239,169,7559
Campinas,56,4,1,1,15,0,1,1365,2527,1176,10,5078
Osasco,31,1,4,0,11,1,0,2194,4860,1310,171,8535
Manaus,254,1,1,4,4,0,1,3769,5717,715,77,10278
Porto Velho,315,1,1,0,6,0,1,2544,4625,1088,107,8364
Rio de Janeiro,280,3,4,0,12,1,0,647,5692,1313,183,7835
Ribeirão Preto,374,1,1,4,19,0,1,334,636,1750,180,2900
Joinville,393,5,1,4,9,0,0,4502,9884,1422,72,15880
Guarulhos,425,3,1,4,3,1,1,868,6718,306,50,7942
Porto Alegre,121,1,4,0,2,0,0,1926,7977,201,79,10183
Aracaju,217,3,2,2,11,0,0,3300,988,1217,100,5605
Ananindeua,416,2,1,2,4,1,1,2615,1025,1231,160,5031
Porto Alegre,214,2,3,0,11,1,1,704,8090,1766,117,10677
Aparecida de Goiânia,180,4,2,1,7,0,1,2788,3127,1036,129,7080
Florianópolis,225,3,1,2,10,1,0,1526,3926,976,21,6449
São Gonçalo,417,2,4,0,0,1,0,2572,3261,715,30,6578
São José dos Campos,490,1,1,0,3,1,0,1697,6508,1812,42,10059
Curitiba,234,1,2,1,0,1,0,2312,5399,1698,126,9535
Curitiba,250,2,4,0,18,1,1,2460,8562,250,193,11465
São Gonçalo,221,3,3,0,5,0,1,1058,4934,869,102,6963
Jaboatão dos Guararapes,221,3,3,4,5,1,0,3247,1477,442,50,5216
Londrina,164,4,1,2,18,1,1,1306,2246,1829,159,5540
João Pessoa,186,2,2,1,8,1,1,1033,7751,0,125,8909
Porto Alegre,463,1,4,0,4,0,1,751,2998,1688,74,5511
Goiânia,133,1,1,4,0,1,0,1396,3951,353,186,5886
Jaboatão dos Guararapes,450,4,3,0,5,1,0,1679,2777,1682,95,6233
Boa Vista,126,4,1,3,13,1,1,624,2807,1480,32,4943
Londrina,130,2,1,4,3,1,0,972,6307,263,86,7628
São Paulo,450,3,2,0,1,0,1,1154,9196,614,123,11087
Natal,476,1,1,1,9,0,1,4621,8174,633,182,13610
Mogi das Cruzes,349,4,4,3,19,0,0,4804,9671,1930,21,16426
Campo Grande,331,5,3,1,14,1,0,3006,6935,124,131,10196
Serra,59,5,2,2,18,0,1,3746,8011,556,143,12456
Porto Velho,117,4,4,3,13,1,0,2043,8340,28,120,10531
Contagem,135,1,1,2,19,1,0,708,4677,1588,63,7036
Maringá,367,4,1,4,8,1,1,3847,4475,48,148,8518
Recife,493,5,2,2,7,0,0,4300,7401,46,98,11845
Manaus,338,5,4,1,9,0,1,2690,4196,224,139,7249
Aracaju,300,3,3,0,3,0,1,710,3005,127,125,3967
Jaboatão dos Guararapes,401,1,4,3,12,1,1,3136,2784,386,99,6405
Porto Alegre,52,3,4,2,8,1,0,80,877,835,109,1901
Montes Claros,463,2,1,1,4,1,1,3876,6923,1688,129,12616
Feira de Santana,401,5,2,1,3,1,1,1258,1842,232,54,3386
Campinas,178,5,2,2,19,0,0,2839,6043,1626,198,10706
Campo Grande,178,3,2,3,2,1,0,2875,8054,610,189,11728
Serra,43,4,1,4,12,1,1,4296,8993,1282,51,14622
Brasília,450,1,2,2,0,1,1,2866,4564,1393,94,8917
Piracicaba,455,5,4,3,3,1,0,828,958,362,158,2306
Fortaleza,146,2,4,3,12,1,0,1361,5923,1783,137,9204
Cuiabá,499,5,3,4,10,1,1,3980,1660,718,76,6434
João Pessoa,427,3,4,0,11,0,0,1481,1322,1227,138,4168
Caxias do Sul,435,2,4,3,9,0,1,240,2227,844,95,3406
Uberlândia,422,4,4,2,15,0,0,1634,5300,797,196,7927
Florianópolis,285,2,4,0,14,1,0,4705,2551,776,167,8199
Serra,150,5,1,1,5,1,0,3392,6596,303,171,10462
Piracicaba,499,5,4,0,11,1,0,1159,2345,807,195,4506
Florianópolis,333,1,3,4,18,1,1,2679,3577,50,150,6456
São José dos Campos,377,1,4,4,15,1,1,1186,1971,128,143,3428
Campinas,25,3,4,1,3,0,0,3544,3255,1774,33,8606
Campo Grande,456,5,2,0,4,0,0,4486,6639,1270,93,12488
Caxias do Sul,316,2,4,0,12,0,1,4515,7966,420,81,12982
Niterói,29,2,3,4,19,1,1,4170,1553,1330,173,7226
Barueri,154,2,1,2,6,1,1,3766,8067,496,184,12513
Joinville,62,4,2,1,11,1,0,391,9902,924,131,11348
Serra,261,5,3,1,6,0,0,2840,8419,291,82,11632
Niterói,245,1,2,4,14,0,1,156,3028,13,150,3347
Osasco,444,4,1,4,0,1,1,1613,1923,1323,122,4981
João Pessoa,120,2,1,2,14,1,1,4359,9734,400,65,14558
Santo André,293,2,2,1,10,1,0,3340,8357,701,29,12427
Porto Alegre,432,3,4,3,1,0,0,2983,3859,1466,173,8481
João Pessoa,383,4,2,1,7,0,0,2875,7905,689,65,11534
